Ticker,ISIN,Country,Allocation,Fund,Index
EXX6,DE000A0D8Q31,Germany,87.13,iShares eb.rexx Government Germany 10.5+yr UCITS ETF (DE),eb.rexx Government Germany 10.5+
EXX6,DE000A0D8Q31,Other,12.87,iShares eb.rexx Government Germany 10.5+yr UCITS ETF (DE),eb.rexx Government Germany 10.5+
XGIN,LU0290357929,United States,43.12,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,United Kingdom,23.35,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,France,7.49,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,Italy,4.94,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,Japan,2.52,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,Germany,2.42,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,Spain,2.41,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,Canada,1.69,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
XGIN,LU0290357929,Other,12.06,Xtrackers Global Inflation-Linked Bond UCITS ETF 1C EUR hedged,Bloomberg Barclays World Government Inflation-Linked Bond (EUR Hedged)
36B5,IE00BGDQ0T50,Taiwan,27.4,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,India,17.09,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,China,14.01,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,South Korea,7.12,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,South Africa,5.96,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Malaysia,4.91,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Brazil,4.32,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Thailand,4.11,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,United Arab Emirates,2.27,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Other,12.81,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
WFIN,IE00BYTRR970,United States,57.47,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Canada,6.19,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Japan,5.22,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,United Kingdom,4.72,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Australia,4.15,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Switzerland,3.76,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Germany,2.69,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Italy,1.71,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
