Ticker,ISIN,Sector,Allocation,Fund,Index
36B5,IE00BGDQ0T50,Financials,24.36,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Technology,24.19,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Consumer Discretionary,12.48,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Telecommunications,10.62,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Industrials,5.27,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Consumer Staples,5.14,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Materials,4.93,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Health Care,3.84,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Energy,3.22,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
36B5,IE00BGDQ0T50,Other,5.95,iShares MSCI EM SRI UCITS ETF USD (Dist),MSCI Emerging Markets SRI Select Reduced Fossil Fuels
WFIN,IE00BYTRR970,Financials,84.48,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Technology,12.17,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Utilities,0.04,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Energy,0.04,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
WFIN,IE00BYTRR970,Other,3.28,SPDR MSCI World Financials UCITS ETF,MSCI World Financials
XEYX,FR0010150458,Industrials,33.06,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Consumer Discretionary,19.85,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Financials,11.25,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Consumer Staples,10.79,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Health Care,7.54,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Materials,6.63,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Technology,3.34,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Utilities,3.29,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Telecommunications,2.93,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Real Estate,1.32,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
XEYX,FR0010150458,Other,0.0,BNP Paribas Easy CAC 40 UCITS ETF,CAC 40
IEMO,IE00BQN1K786,Industrials,27.89,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Financials,24.8,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Health Care,9.67,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Telecommunications,8.52,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Technology,8.03,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Consumer Staples,6.55,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Consumer Discretionary,4.87,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Utilities,2.73,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Materials,2.7,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
IEMO,IE00BQN1K786,Other,4.24,iShares Edge MSCI Europe Momentum Factor UCITS ETF,MSCI Europe Momentum
LUSA,FR0010296061,Technology,33.91,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Health Care,14.5,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Consumer Discretionary,10.41,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Financials,9.27,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Telecommunications,8.94,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Industrials,7.35,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Consumer Staples,4.98,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Energy,3.3,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Real Estate,2.86,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
LUSA,FR0010296061,Other,4.48,Lyxor MSCI USA ESG Broad CTB (DR) UCITS ETF - Dist,MSCI USA
SJPA,IE00B4L5YX21,Industrials,23.56,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
SJPA,IE00B4L5YX21,Consumer Discretionary,18.68,iShares Core MSCI Japan IMI UCITS ETF,MSCI Japan IMI
